Date;x (m);y (m)
0;108000000000;5190000000
864000;103000000000;34700000000
1728000;89000000000;61500000000
2592000;68500000000;83600000000
3456000;42600000000;99100000000
4320000;13400000000;107000000000
5184000;-16800000000;106000000000
6048000;-45800000000;97200000000
6912000;-71100000000;80500000000
7776000;-90700000000;57400000000
8640000;-103000000000;29700000000
9504000;-108000000000;-290000000
10368000;-103000000000;-30300000000
11232000;-91200000000;-57900000000
12096000;-71800000000;-81000000000
12960000;-46900000000;-97800000000
13824000;-18400000000;-107000000000
14688000;11600000000;-108000000000
15552000;40600000000;-101000000000
16416000;66600000000;-86100000000
